year,month,day,phase,percentage,darkFaces
2012,oct,15,new,1,right
2012,oct,22,half_full,2,left
2012,oct,29,full,0,left
2012,nov,7,half_new,0.5,right
2012,nov,13,new,1,right
2012,nov,20,half_full,2,left
2012,nov,28,full,0,left
2012,dec,6,half_new,0.5,right
2012,dec,13,new,1,right
2012,dec,20,half_full,2,left
2012,dec,28,full,0,left
2013,jan,5,half_new,0.5,right
2013,jan,11,new,1,right
2013,jan,19,half_full,2,left
2013,jan,27,full,0,left
2013,feb,3,half_new,0.5,right
2013,feb,10,new,1,right
2013,feb,17,half_full,2,left
2013,feb,25,full,0,left
2013,mar,4,half_new,0.5,right
2013,mar,11,new,1,right
2013,mar,19,half_full,2,left
2013,mar,27,full,0,left
2013,apr,3,half_new,0.5,right
2013,apr,10,new,1,right
2013,apr,18,half_full,2,left
2013,apr,25,full,0,left
2013,may,2,half_new,0.5,right
2013,may,10,new,1,right
2013,may,18,half_full,2,left
2013,may,25,full,0,left
2013,may,31,half_new,0.5,right
2013,jun,8,new,1,right
2013,jun,16,half_full,2,left
2013,jun,23,full,0,left
2013,jun,30,half_new,0.5,right
2013,jul,7,new,1,right
2013,jul,16,half_full,2,left
2013,jul,22,full,0,left
2013,jul,29,half_new,0.5,right
2013,aug,6,new,1,right
2013,aug,14,half_full,2,left
2013,aug,21,full,0,left
2013,aug,28,half_new,0.5,right
2013,sep,5,new,1,right
2013,sep,12,half_full,2,left
2013,sep,19,full,0,left
2013,sep,27,half_new,0.5,right
2013,oct,5,new,1,right
2013,oct,12,half_full,2,left
2013,oct,19,full,0,left
2013,oct,27,half_new,0.5,right
2013,nov,3,new,1,right
2013,nov,10,half_full,2,left
2013,nov,17,full,0,left
2013,nov,25,half_new,0.5,right
2013,dec,3,new,1,right
2013,dec,9,half_full,2,left
2013,dec,17,full,0,left
2013,dec,25,half_new,0.5,right
2014,jan,1,new,1,right
2014,jan,8,half_full,2,left
2014,jan,16,full,0,left
2014,jan,24,half_new,0.5,right
2014,jan,30,new,1,right
2014,feb,6,half_full,2,left
2014,feb,15,full,0,left
2014,feb,22,half_new,0.5,right
2014,mar,1,new,1,right
2014,mar,8,half_full,2,left
2014,mar,16,full,0,left
2014,mar,24,half_new,0.5,right
2014,mar,30,new,1,right
2014,apr,7,half_full,2,left
2014,apr,15,full,0,left
2014,apr,22,half_new,0.5,right
2014,apr,29,new,1,right
2014,may,7,half_full,2,left
2014,may,14,full,0,left
2014,may,21,half_new,0.5,right
2014,may,28,new,1,right
2014,jun,5,half_full,2,left
2014,jun,13,full,0,left
2014,jun,19,half_new,0.5,right
2014,jun,27,new,1,right
2014,jul,5,half_full,2,left
2014,jul,12,full,0,left
2014,jul,19,half_new,0.5,right
2014,jul,27,new,1,right
2014,aug,4,half_full,2,left
2014,aug,10,full,0,left
2014,aug,17,half_new,0.5,right
2014,aug,25,new,1,right
2014,sep,2,half_full,2,left
2014,sep,9,full,0,left
2014,sep,16,half_new,0.5,right
2014,sep,24,new,1,right
2014,oct,1,half_full,2,left
2014,oct,8,full,0,left
2014,oct,15,half_new,0.5,right
2014,oct,23,new,1,right
2014,oct,31,half_full,2,left
2014,nov,6,full,0,left
2014,nov,14,half_new,0.5,right
2014,nov,22,new,1,right
2014,nov,29,half_full,2,left
2014,dec,6,full,0,left
2014,dec,14,half_new,0.5,right
2014,dec,22,new,1,right
2014,dec,28,half_full,2,left
2015,jan,5,full,0,left
2015,jan,13,half_new,0.5,right
2015,jan,20,new,1,right
2015,jan,27,half_full,2,left
2015,feb,4,full,0,left
2015,feb,12,half_new,0.5,right
2015,feb,19,new,1,right
2015,feb,25,half_full,2,left
2015,mar,5,full,0,left
2015,mar,13,half_new,0.5,right
2015,mar,20,new,1,right
2015,mar,27,half_full,2,left
2015,apr,4,full,0,left
2015,apr,12,half_new,0.5,right
2015,apr,18,new,1,right
